order_id,customer_id,product_id,store_id,order_date,quantity
ORD-00059,CUST-0948,PROD-031,STORE-14,2026-03-01,3
ORD-00060,CUST-1000,PROD-023,STORE-15,2025-11-24,7
ORD-00061,CUST-0026,PROD-023,STORE-12,2025-11-15,6
ORD-00062,CUST-0802,PROD-053,STORE-13,2024-08-30,4
ORD-00063,CUST-0274,PROD-021,STORE-13,2026-02-16,2
ORD-00064,CUST-0392,PROD-005,STORE-14,2025-06-17,8
ORD-00065,CUST-0228,PROD-026,STORE-14,2026-04-24,8
ORD-00066,CUST-0359,PROD-040,STORE-14,2026-03-19,4
ORD-00067,CUST-0229,PROD-004,STORE-11,2025-11-09,4
ORD-00068,CUST-0409,PROD-043,STORE-05,2025-04-14,2
ORD-00069,CUST-0991,PROD-099,STORE-05,2025-01-21,6
ORD-00070,CUST-0657,PROD-066,STORE-07,2025-10-26,9
ORD-00071,CUST-0340,PROD-004,STORE-02,2025-11-11,5
ORD-00072,CUST-0183,PROD-075,STORE-05,2025-06-02,1
ORD-00073,CUST-0112,PROD-077,STORE-07,2025-04-03,6
ORD-00074,CUST-0747,PROD-041,STORE-07,2024-07-01,10
ORD-00075,CUST-0524,PROD-015,STORE-07,2024-09-23,10
ORD-00076,CUST-0195,PROD-033,STORE-01,2024-09-20,7
ORD-00077,CUST-0002,PROD-067,STORE-15,2024-08-25,9
ORD-00078,CUST-0704,PROD-093,STORE-12,2024-09-24,4
ORD-00079,CUST-0373,PROD-056,STORE-02,2025-07-06,6
ORD-00080,CUST-0639,PROD-041,STORE-11,2025-11-02,2
ORD-00081,CUST-0738,PROD-039,STORE-09,2026-10-27,5
ORD-00082,CUST-0683,PROD-053,STORE-06,2026-05-28,7
ORD-00083,CUST-0714,PROD-038,STORE-09,2025-07-22,3
ORD-00084,CUST-0197,PROD-054,STORE-11,2024-12-13,7
ORD-00085,CUST-0694,PROD-096,STORE-15,2024-07-09,3
ORD-00086,CUST-0631,PROD-073,STORE-05,2025-09-20,7
ORD-00087,CUST-0562,PROD-001,STORE-05,2025-09-10,5
ORD-00088,CUST-0216,PROD-056,STORE-13,2025-09-09,10
ORD-00089,CUST-0622,PROD-084,STORE-06,2025-06-29,8
ORD-00090,CUST-0453,PROD-057,STORE-11,2025-01-20,4
ORD-00091,CUST-0524,PROD-061,STORE-13,2025-12-12,3
ORD-00092,CUST-0675,PROD-011,STORE-05,2026-01-21,9
ORD-00093,CUST-0680,PROD-082,STORE-10,2024-09-03,6
ORD-00094,CUST-0096,PROD-097,STORE-04,2026-02-28,5
ORD-00095,CUST-0231,PROD-026,STORE-03,2025-09-25,1
ORD-00096,CUST-0048,PROD-032,STORE-08,2024-11-09,10
ORD-00097,CUST-0871,PROD-099,STORE-02,2025-04-16,8
ORD-00098,CUST-0425,PROD-081,STORE-10,2025-07-03,4
ORD-00099,CUST-0736,PROD-090,STORE-07,2025-11-04,8
ORD-00100,CUST-0410,PROD-032,STORE-03,2025-12-19,1
ORD-00101,CUST-0915,PROD-097,STORE-14,2025-05-24,2
ORD-00102,CUST-0798,PROD-055,STORE-04,2025-02-08,3
ORD-00103,CUST-0824,PROD-090,STORE-09,2025-09-08,8
ORD-00104,CUST-0052,PROD-072,STORE-04,2024-09-27,2
ORD-00105,CUST-0468,PROD-018,STORE-13,2024-09-07,8
ORD-00106,CUST-0684,PROD-068,STORE-09,2025-03-01,10
ORD-00107,CUST-0325,PROD-097,STORE-15,2024-08-10,8
ORD-00108,CUST-0628,PROD-093,STORE-15,2025-12-28,9
ORD-00109,CUST-0437,PROD-071,STORE-08,2026-05-28,3
ORD-00110,CUST-0762,PROD-061,STORE-08,2026-10-27,5
ORD-00111,CUST-0770,PROD-032,STORE-14,2026-03-01,5
ORD-00112,CUST-0785,PROD-100,STORE-09,2025-08-13,8
ORD-00113,CUST-0642,PROD-031,STORE-05,2024-11-12,8
ORD-00114,CUST-0080,PROD-092,STORE-05,2025-05-02,4
ORD-00115,CUST-0279,PROD-043,STORE-06,2026-03-15,9
ORD-00116,CUST-0083,PROD-018,STORE-03,2025-12-18,4
ORD-00117,CUST-0393,PROD-089,STORE-03,2024-07-07,4
ORD-00118,CUST-0066,PROD-054,STORE-07,2025-04-23,6
ORD-00119,CUST-0556,PROD-060,STORE-07,2025-08-27,1
ORD-00120,CUST-0212,PROD-054,STORE-07,2026-03-18,10
ORD-00121,CUST-0969,PROD-090,STORE-01,2025-08-12,10
ORD-00122,CUST-0390,PROD-062,STORE-01,2026-02-20,6
ORD-00123,CUST-0306,PROD-097,STORE-07,2026-03-14,7
ORD-00124,CUST-0552,PROD-096,STORE-12,2025-08-07,9
ORD-00125,CUST-0820,PROD-078,STORE-15,2025-07-06,4
ORD-00126,CUST-0500,PROD-029,STORE-05,2024-08-10,7
ORD-00127,CUST-0498,PROD-004,STORE-07,2025-07-30,6
ORD-00128,CUST-0685,PROD-087,STORE-13,2026-04-03,7
ORD-00129,CUST-0742,PROD-022,STORE-14,2025-09-19,8
ORD-00130,CUST-0942,PROD-017,STORE-10,2025-08-14,9
ORD-00131,CUST-0028,PROD-051,STORE-10,2025-12-28,10
ORD-00132,CUST-0679,PROD-004,STORE-02,2026-03-20,7
ORD-00133,CUST-0139,PROD-060,STORE-03,2026-02-25,1
ORD-00134,CUST-0267,PROD-049,STORE-06,2025-11-10,4
ORD-00135,CUST-0466,PROD-042,STORE-06,2024-09-26,7
ORD-00136,CUST-0285,PROD-097,STORE-14,2026-01-28,7
ORD-00137,CUST-0259,PROD-011,STORE-08,2026-01-27,1
ORD-00138,CUST-0768,PROD-070,STORE-01,2024-11-30,6
ORD-00139,CUST-0230,PROD-084,STORE-02,2025-11-15,1
ORD-00140,CUST-0773,PROD-004,STORE-04,2026-05-20,4
ORD-00141,CUST-0860,PROD-003,STORE-10,2024-09-21,3
ORD-00142,CUST-0245,PROD-017,STORE-08,2024-11-09,2
ORD-00143,CUST-0578,PROD-028,STORE-08,2026-04-22,5
ORD-00144,CUST-0786,PROD-048,STORE-03,2025-09-30,10
ORD-00145,CUST-0622,PROD-096,STORE-12,2025-12-13,2
ORD-00146,CUST-0797,PROD-021,STORE-05,2024-11-08,2
ORD-00147,CUST-0593,PROD-004,STORE-15,2024-06-26,5
ORD-00148,CUST-0590,PROD-087,STORE-15,2025-08-26,7
ORD-00149,CUST-0407,PROD-092,STORE-04,2025-06-04,2
ORD-00150,CUST-0607,PROD-089,STORE-14,2026-03-05,4
ORD-00151,CUST-0105,PROD-090,STORE-13,2025-02-21,5
ORD-00152,CUST-0871,PROD-088,STORE-10,2024-09-25,2
ORD-00153,CUST-0816,PROD-073,STORE-13,2024-07-22,1
ORD-00154,CUST-0356,PROD-069,STORE-07,2024-09-30,6
ORD-00155,CUST-0071,PROD-065,STORE-11,2025-09-11,6
ORD-00156,CUST-0013,PROD-054,STORE-14,2024-11-29,8
ORD-00157,CUST-0109,PROD-056,STORE-06,2025-11-10,8
ORD-00158,CUST-0725,PROD-020,STORE-07,2024-10-25,3
ORD-00159,CUST-0752,PROD-067,STORE-11,2024-08-29,5
ORD-00160,CUST-0631,PROD-069,STORE-13,2025-09-01,8
ORD-00161,CUST-0477,PROD-056,STORE-14,2025-01-07,10
ORD-00162,CUST-0275,PROD-042,STORE-14,2026-04-14,4
ORD-00163,CUST-0851,PROD-012,STORE-05,2026-01-27,8
ORD-00164,CUST-0250,PROD-097,STORE-08,2024-07-19,10
ORD-00165,CUST-0625,PROD-086,STORE-07,2024-08-26,6
ORD-00166,CUST-0030,PROD-064,STORE-14,2024-09-26,6
ORD-00167,CUST-0187,PROD-063,STORE-04,2025-07-20,6
ORD-00168,CUST-0817,PROD-034,STORE-06,2025-02-08,5
ORD-00169,CUST-0902,PROD-077,STORE-12,2025-03-31,5
ORD-00170,CUST-0570,PROD-002,STORE-09,2025-08-18,4
ORD-00171,CUST-0088,PROD-031,STORE-12,2026-10-27,7
ORD-00172,CUST-0501,PROD-072,STORE-13,2025-05-16,4
ORD-00173,CUST-0708,PROD-061,STORE-11,2025-11-15,8
ORD-00174,CUST-0459,PROD-003,STORE-02,2024-06-22,5
ORD-00175,CUST-0227,PROD-052,STORE-12,2024-12-31,4
ORD-00176,CUST-0314,PROD-085,STORE-10,2025-02-10,6
ORD-00177,CUST-0485,PROD-071,STORE-09,2024-07-27,6
ORD-00178,CUST-0436,PROD-096,STORE-09,2025-07-30,6
ORD-00179,CUST-0361,PROD-090,STORE-08,2026-05-25,5
ORD-00180,CUST-0314,PROD-033,STORE-04,2026-02-20,2
ORD-00181,CUST-0739,PROD-025,STORE-06,2025-02-04,2
ORD-00182,CUST-0761,PROD-069,STORE-13,2025-11-15,3
ORD-00183,CUST-0197,PROD-028,STORE-12,2025-08-10,8
ORD-00184,CUST-0284,PROD-093,STORE-10,2025-06-02,9
ORD-00185,CUST-0612,PROD-037,STORE-02,2024-10-08,4
ORD-00186,CUST-0304,PROD-030,STORE-06,2025-09-13,3
ORD-00187,CUST-0310,PROD-002,STORE-12,2025-07-07,9
ORD-00188,CUST-0130,PROD-036,STORE-01,2025-12-13,1
ORD-00189,CUST-0567,PROD-038,STORE-12,2025-02-20,3
ORD-00190,CUST-0654,PROD-097,STORE-08,2025-08-01,2
ORD-00191,CUST-0894,PROD-002,STORE-10,2026-05-30,5
ORD-00192,CUST-0481,PROD-062,STORE-08,2025-03-22,6
ORD-00193,CUST-0189,PROD-007,STORE-05,2026-10-27,8
ORD-00194,CUST-0117,PROD-009,STORE-07,2025-08-14,8
ORD-00195,CUST-0076,PROD-074,STORE-11,2025-07-23,1
ORD-00196,CUST-0156,PROD-020,STORE-13,2024-12-01,10
ORD-00197,CUST-0972,PROD-039,STORE-02,2025-12-08,4
ORD-00198,CUST-0122,PROD-072,STORE-13,2024-09-06,7
ORD-00199,CUST-0621,PROD-077,STORE-13,2025-11-18,10
ORD-00200,CUST-0232,PROD-100,STORE-09,2026-03-20,7
ORD-00201,CUST-0462,PROD-057,STORE-05,2024-07-26,10
ORD-00202,CUST-0440,PROD-040,STORE-10,2024-12-23,10
ORD-00203,CUST-0062,PROD-079,STORE-12,2024-07-20,2
ORD-00204,CUST-0971,PROD-098,STORE-04,2024-11-15,4
ORD-00205,CUST-0271,PROD-085,STORE-02,2024-10-10,3
ORD-00206,CUST-0246,PROD-023,STORE-09,2025-02-09,2
ORD-00207,CUST-0161,PROD-001,STORE-07,2026-04-17,8
ORD-00208,CUST-0706,PROD-077,STORE-08,2026-03-30,5
ORD-00209,CUST-0034,PROD-030,STORE-05,2024-12-06,5
ORD-00210,CUST-0720,PROD-059,STORE-02,2024-10-04,4
ORD-00211,CUST-0947,PROD-034,STORE-13,2025-10-02,10
ORD-00212,CUST-0678,PROD-026,STORE-07,2025-08-24,2
ORD-00213,CUST-0558,PROD-029,STORE-11,2024-12-06,3
ORD-00214,CUST-0931,PROD-035,STORE-14,2025-09-24,3
ORD-00215,CUST-0074,PROD-008,STORE-03,2025-03-27,5
ORD-00216,CUST-0610,PROD-096,STORE-14,2025-01-23,10
ORD-00217,CUST-0944,PROD-037,STORE-08,2024-09-29,2
ORD-00218,CUST-0480,PROD-089,STORE-05,2026-01-09,7
ORD-00219,CUST-0966,PROD-035,STORE-09,2025-10-18,9
ORD-00220,CUST-0506,PROD-057,STORE-02,2025-05-15,10
ORD-00221,CUST-0041,PROD-056,STORE-12,2024-08-18,6
ORD-00222,CUST-0619,PROD-033,STORE-01,2025-08-23,2
ORD-00223,CUST-0235,PROD-087,STORE-14,2025-01-06,10
ORD-00224,CUST-0602,PROD-003,STORE-13,2025-01-10,5
ORD-00225,CUST-0591,PROD-006,STORE-13,2025-04-14,3
ORD-00226,CUST-0482,PROD-067,STORE-11,2025-11-08,8
ORD-00227,CUST-0939,PROD-036,STORE-03,2026-05-24,10
ORD-00228,CUST-0447,PROD-082,STORE-14,2024-10-26,8
ORD-00229,CUST-0993,PROD-012,STORE-08,2025-04-28,6
ORD-00230,CUST-0419,PROD-043,STORE-06,2026-10-27,2
ORD-00231,CUST-0879,PROD-021,STORE-06,2024-08-25,7
ORD-00232,CUST-0711,PROD-064,STORE-05,2025-01-05,7
ORD-00233,CUST-0834,PROD-098,STORE-09,2025-11-29,1
ORD-00234,CUST-0466,PROD-012,STORE-06,2025-05-18,5
ORD-00235,CUST-0332,PROD-015,STORE-13,2026-06-22,7
ORD-00236,CUST-0886,PROD-066,STORE-14,2025-12-13,1
ORD-00237,CUST-0674,PROD-070,STORE-08,2024-10-11,7
ORD-00238,CUST-0056,PROD-025,STORE-09,2025-08-12,6
ORD-00239,CUST-0638,PROD-097,STORE-08,2024-11-27,8
ORD-00240,CUST-0779,PROD-007,STORE-04,2024-08-15,5
ORD-00241,CUST-0563,PROD-017,STORE-15,2025-10-24,5
ORD-00242,CUST-0449,PROD-090,STORE-08,2026-01-12,2
ORD-00243,CUST-0030,PROD-081,STORE-10,2025-01-17,4
ORD-00244,CUST-0727,PROD-021,STORE-05,2025-10-26,9
ORD-00245,CUST-0015,PROD-071,STORE-07,2025-12-15,2
ORD-00246,CUST-0231,PROD-015,STORE-08,2025-11-05,2
ORD-00247,CUST-0664,PROD-020,STORE-08,2024-11-18,5
ORD-00248,CUST-0522,PROD-091,STORE-05,2025-12-28,7
ORD-00249,CUST-0855,PROD-062,STORE-08,2025-04-07,4
ORD-00250,CUST-0468,PROD-071,STORE-03,2025-09-02,7
ORD-00251,CUST-0196,PROD-077,STORE-09,2026-10-27,3
ORD-00252,CUST-0885,PROD-009,STORE-05,2025-11-07,7
ORD-00253,CUST-0349,PROD-065,STORE-05,2026-03-21,1
ORD-00254,CUST-0290,PROD-093,STORE-05,2025-07-24,10
ORD-00255,CUST-0594,PROD-085,STORE-08,2025-10-04,3
ORD-00256,CUST-0458,PROD-069,STORE-08,2024-10-27,6
ORD-00257,CUST-0341,PROD-071,STORE-13,2025-05-13,9
ORD-00258,CUST-0387,PROD-059,STORE-15,2026-03-22,6
ORD-00259,CUST-0891,PROD-025,STORE-12,2024-10-19,4
ORD-00260,CUST-0586,PROD-050,STORE-04,2025-02-22,7
ORD-00261,CUST-0045,PROD-041,STORE-12,2026-02-23,8
ORD-00262,CUST-0723,PROD-049,STORE-07,2025-05-24,3
ORD-00263,CUST-0508,PROD-005,STORE-03,2025-04-12,9
ORD-00264,CUST-0989,PROD-076,STORE-06,2024-07-12,2
ORD-00265,CUST-0896,PROD-057,STORE-02,2025-10-03,9
ORD-00266,CUST-0933,PROD-059,STORE-01,2024-12-31,3
ORD-00267,CUST-0420,PROD-084,STORE-03,2024-08-21,2
ORD-00268,CUST-0481,PROD-034,STORE-06,2025-01-17,10
ORD-00269,CUST-0710,PROD-051,STORE-11,2024-09-26,2
ORD-00270,CUST-0873,PROD-043,STORE-14,2025-08-08,9
ORD-00271,CUST-0390,PROD-041,STORE-11,2024-09-15,8
ORD-00272,CUST-0894,PROD-070,STORE-01,2025-12-05,10
ORD-00273,CUST-0071,PROD-031,STORE-11,2025-08-21,5
ORD-00274,CUST-0233,PROD-096,STORE-02,2025-05-03,7
ORD-00275,CUST-0101,PROD-098,STORE-11,2024-08-12,2
ORD-00276,CUST-0455,PROD-022,STORE-12,2025-03-04,5
ORD-00277,CUST-0926,PROD-004,STORE-01,2025-11-01,6
ORD-00278,CUST-0816,PROD-008,STORE-05,2024-08-30,6
ORD-00279,CUST-0384,PROD-056,STORE-03,2025-03-30,4
ORD-00280,CUST-0544,PROD-053,STORE-10,2026-05-29,3
ORD-00281,CUST-0175,PROD-023,STORE-02,2025-03-08,10
ORD-00282,CUST-0892,PROD-049,STORE-10,2026-02-16,4
ORD-00283,CUST-0510,PROD-075,STORE-03,2025-01-20,4
ORD-00284,CUST-0473,PROD-082,STORE-05,2024-10-13,8
ORD-00285,CUST-0262,PROD-086,STORE-01,2026-04-27,8
ORD-00286,CUST-0923,PROD-037,STORE-11,2026-03-03,9
ORD-00287,CUST-0162,PROD-010,STORE-08,2024-12-14,6
ORD-00288,CUST-0602,PROD-039,STORE-11,2025-01-20,7
ORD-00289,CUST-0707,PROD-033,STORE-08,2024-06-29,5
ORD-00290,CUST-0204,PROD-050,STORE-14,2024-09-06,8
ORD-00291,CUST-0110,PROD-031,STORE-07,2025-04-10,10
ORD-00292,CUST-0368,PROD-074,STORE-05,2024-12-11,5
ORD-00293,CUST-0023,PROD-085,STORE-07,2025-04-12,5
ORD-00294,CUST-0009,PROD-073,STORE-14,2024-09-11,1
ORD-00295,CUST-0933,PROD-078,STORE-12,2026-02-19,8
ORD-00296,CUST-0853,PROD-037,STORE-13,2026-06-10,4
ORD-00297,CUST-0622,PROD-046,STORE-04,2024-09-25,4
ORD-00298,CUST-0636,PROD-033,STORE-11,2024-11-05,3
ORD-00299,CUST-0644,PROD-013,STORE-15,2025-08-04,1
ORD-00300,CUST-0317,PROD-057,STORE-01,2026-01-08,10
ORD-00301,CUST-0374,PROD-094,STORE-03,2026-05-03,2
ORD-00302,CUST-0932,PROD-038,STORE-06,2025-02-15,7
ORD-00303,CUST-0180,PROD-026,STORE-03,2025-09-22,9
ORD-00304,CUST-0898,PROD-047,STORE-09,2026-03-21,9
ORD-00305,CUST-GHOST-999,PROD-035,STORE-14,2026-03-10,3
ORD-00306,CUST-0264,PROD-062,STORE-13,2025-07-07,5
ORD-00307,CUST-0765,PROD-044,STORE-13,2024-09-04,2
ORD-00308,CUST-0480,PROD-010,STORE-03,2025-08-06,4
ORD-00309,CUST-0881,PROD-087,STORE-12,2025-03-19,7
ORD-00310,CUST-0991,PROD-072,STORE-06,2025-12-18,2
ORD-00311,CUST-0810,PROD-051,STORE-01,2025-09-09,5
ORD-00312,CUST-0550,PROD-016,STORE-08,2026-04-25,6
ORD-00313,CUST-0689,PROD-096,STORE-11,2025-01-27,5
ORD-00314,CUST-0599,PROD-049,STORE-14,2025-08-24,6
ORD-00315,CUST-0111,PROD-087,STORE-04,2025-01-18,8
ORD-00316,CUST-0026,PROD-080,STORE-15,2025-10-06,9
ORD-00317,CUST-0336,PROD-079,STORE-04,2024-09-06,2
ORD-00318,CUST-0651,PROD-060,STORE-15,2026-05-19,5
ORD-00319,CUST-0665,PROD-053,STORE-02,2024-07-29,3
ORD-00320,CUST-0047,PROD-005,STORE-05,2024-11-01,8
ORD-00321,CUST-0119,PROD-013,STORE-04,2025-02-23,9
ORD-00322,CUST-0139,PROD-050,STORE-08,2026-01-26,6
ORD-00323,CUST-0687,PROD-096,STORE-12,2025-04-20,9
ORD-00324,CUST-0430,PROD-076,STORE-12,2024-11-09,3
ORD-00325,CUST-0907,PROD-054,STORE-11,2025-03-17,2
ORD-00326,CUST-0854,PROD-063,STORE-10,2026-03-10,7
ORD-00327,CUST-0962,PROD-036,STORE-01,2026-01-18,6
ORD-00328,CUST-0223,PROD-057,STORE-08,2025-11-30,4
ORD-00329,CUST-0876,PROD-047,STORE-02,2026-02-24,6
ORD-00330,CUST-0558,PROD-083,STORE-06,2025-08-08,1
ORD-00331,CUST-0408,PROD-036,STORE-04,2025-08-24,2
ORD-00332,CUST-0972,PROD-059,STORE-02,2025-09-26,4
ORD-00333,CUST-0658,PROD-082,STORE-10,2026-05-08,1
ORD-00334,CUST-0052,PROD-043,STORE-04,2026-04-12,3
ORD-00335,CUST-0806,PROD-073,STORE-04,2025-04-30,2
ORD-00336,CUST-0850,PROD-098,STORE-09,2025-06-27,4
ORD-00337,CUST-0601,PROD-028,STORE-14,2025-09-25,4
ORD-00338,CUST-0337,PROD-100,STORE-03,2024-09-29,10
ORD-00339,CUST-0003,PROD-036,STORE-14,2025-01-09,3
ORD-00340,CUST-0134,PROD-070,STORE-05,2024-06-29,3
ORD-00341,CUST-0113,PROD-085,STORE-14,2025-12-07,1
ORD-00342,CUST-0135,PROD-002,STORE-06,2026-10-27,4
ORD-00343,CUST-0603,PROD-042,STORE-01,2025-12-27,3
ORD-00344,CUST-0272,PROD-007,STORE-03,2024-10-20,7
ORD-00345,CUST-0539,PROD-015,STORE-12,2025-11-14,2
ORD-00346,CUST-0488,PROD-058,STORE-13,2024-09-28,6
ORD-00347,CUST-0526,PROD-076,STORE-02,2024-10-10,8
ORD-00348,CUST-0516,PROD-029,STORE-10,2025-04-12,1
ORD-00349,CUST-0745,PROD-085,STORE-09,2025-09-05,5
ORD-00350,CUST-0470,PROD-083,STORE-01,2026-01-14,1
ORD-00351,CUST-0491,PROD-052,STORE-07,2025-01-15,2
ORD-00352,CUST-0503,PROD-092,STORE-15,2024-08-02,8
ORD-00353,CUST-0076,PROD-011,STORE-06,2026-06-05,10
ORD-00354,CUST-0152,PROD-009,STORE-03,2026-01-06,5
ORD-00355,CUST-0640,PROD-082,STORE-10,2025-10-31,9
ORD-00356,CUST-0730,PROD-042,STORE-07,2025-04-05,10
ORD-00357,CUST-0544,PROD-038,STORE-08,2025-12-23,9
ORD-00358,CUST-0620,PROD-056,STORE-02,2026-02-15,2
ORD-00359,CUST-0874,PROD-084,STORE-11,2025-01-01,9
ORD-00360,CUST-0739,PROD-028,STORE-07,2025-11-30,8
ORD-00361,CUST-0910,PROD-030,STORE-07,2025-10-07,6
ORD-00362,CUST-0848,PROD-059,STORE-07,2025-05-12,7
ORD-00363,CUST-0748,PROD-013,STORE-06,2025-12-22,7
ORD-00364,CUST-0321,PROD-086,STORE-05,2025-06-12,6
ORD-00365,CUST-0977,PROD-020,STORE-11,2024-11-11,8
ORD-00366,CUST-0069,PROD-012,STORE-14,2025-05-28,2
ORD-00367,CUST-0096,PROD-056,STORE-02,2025-03-23,6
ORD-00368,CUST-0832,PROD-017,STORE-09,2026-03-04,1
ORD-00369,CUST-0601,PROD-072,STORE-09,2025-06-21,6
ORD-00370,CUST-0687,PROD-016,STORE-07,2025-07-17,6
ORD-00371,CUST-0895,PROD-086,STORE-13,2025-01-30,7
ORD-00372,CUST-0889,PROD-093,STORE-01,2025-01-22,5
ORD-00373,CUST-0615,PROD-040,STORE-06,2025-05-20,2
ORD-00374,CUST-0592,PROD-065,STORE-04,2025-07-31,3
ORD-00375,CUST-0673,PROD-062,STORE-04,2026-01-01,2
ORD-00376,CUST-0359,PROD-072,STORE-06,2026-05-07,2
ORD-00377,CUST-0781,PROD-036,STORE-10,2026-06-09,4
ORD-00378,CUST-0827,PROD-055,STORE-14,2026-03-16,9
ORD-00379,CUST-0998,PROD-099,STORE-14,2024-12-16,10
ORD-00380,CUST-0629,PROD-087,STORE-11,2025-02-14,9
ORD-00381,CUST-0027,PROD-078,STORE-15,2025-10-28,5
ORD-00382,CUST-0030,PROD-024,STORE-05,2026-04-19,5
ORD-00383,CUST-0944,PROD-044,STORE-06,2024-08-28,1
ORD-00384,CUST-0186,PROD-019,STORE-10,2025-02-14,7
ORD-00385,CUST-0072,PROD-019,STORE-12,2025-05-03,1
ORD-00386,CUST-0094,PROD-096,STORE-09,2026-02-10,4
ORD-00387,CUST-0386,PROD-054,STORE-08,2025-02-19,6
ORD-00388,CUST-0162,PROD-048,STORE-05,2026-04-09,6
ORD-00389,CUST-0796,PROD-073,STORE-10,2024-08-31,2
ORD-00390,CUST-0905,PROD-007,STORE-03,2025-10-27,3
ORD-00391,CUST-0773,PROD-080,STORE-01,2024-08-22,2
ORD-00392,CUST-GHOST-999,PROD-057,STORE-11,2024-08-20,7
ORD-00393,CUST-0498,PROD-078,STORE-08,2026-01-09,7
ORD-00394,CUST-0280,PROD-028,STORE-13,2024-12-25,9
ORD-00395,CUST-0117,PROD-045,STORE-07,2024-09-02,2
ORD-00396,CUST-0291,PROD-087,STORE-11,2024-10-28,10
ORD-00397,CUST-0499,PROD-068,STORE-11,2025-09-11,5
ORD-00398,CUST-0047,PROD-029,STORE-07,2024-08-05,10
