return_id,order_id,product_id,return_date,reason,refund_amount,status,quality_flag
RET-0148,ORD-02406,PROD-093,2025-05-19,damaged,177.27,processed,valid
RET-0149,ORD-06801,PROD-010,2025-09-15,wrong item,20.45,processed,valid
RET-0150,ORD-03429,PROD-097,2024-12-11,wrong item,163.83,processed,valid
RET-0151,ORD-02610,PROD-081,2025-01-21,damaged,22.78,processed,valid
RET-0152,ORD-03657,PROD-067,2026-03-19,wrong item,45.87,processed,valid
RET-0153,ORD-03215,PROD-076,2025-01-31,wrong item,174.15,rejected,valid
RET-0154,ORD-03535,PROD-074,2024-08-05,damaged,196.13,processed,valid
RET-0155,ORD-03287,PROD-027,2025-10-17,damaged,111.3,processed,valid
RET-0158,ORD-06488,PROD-029,2024-07-27,defective,103.63,rejected,valid
RET-0159,ORD-00648,PROD-062,2024-10-04,not as described,49.17,processed,valid
RET-0160,ORD-00223,PROD-087,2025-01-09,defective,84.31,processed,valid
RET-0161,ORD-06890,PROD-088,2026-03-13,wrong item,56.86,processed,valid
RET-0162,ORD-07679,PROD-053,2025-03-03,changed mind,98.67,processed,valid
RET-0163,ORD-00024,PROD-087,2025-12-15,wrong item,42.61,processed,valid
RET-0164,ORD-01906,PROD-004,2026-03-19,damaged,102.44,processed,valid
RET-0165,ORD-04079,PROD-075,2026-05-26,defective,54.66,processed,valid
RET-0166,ORD-01555,PROD-023,2025-07-01,changed mind,142.62,processed,valid
RET-0167,ORD-05724,PROD-019,2025-07-26,wrong item,156.31,processed,valid
RET-0168,ORD-05205,PROD-005,2025-05-15,wrong item,38.19,processed,valid
RET-0170,ORD-05841,PROD-092,2026-06-24,wrong item,158.79,processed,valid
RET-0171,ORD-04946,PROD-073,2025-07-13,wrong item,69.56,processed,valid
RET-0172,ORD-01408,PROD-007,2024-09-10,damaged,106.64,processed,valid
RET-0173,ORD-00066,PROD-040,2026-04-11,wrong item,196.32,pending,valid
RET-0174,ORD-06341,PROD-030,2026-02-21,damaged,131.6,processed,valid
RET-0175,ORD-01045,PROD-036,2025-10-04,damaged,97.95,processed,valid
RET-0176,ORD-06689,PROD-088,2024-10-15,defective,75.14,processed,valid
RET-0177,ORD-07925,PROD-092,2026-06-29,changed mind,82.95,processed,valid
RET-0178,ORD-04744,PROD-081,2025-05-01,not as described,81.24,pending,valid
RET-0179,ORD-02032,PROD-027,2025-12-14,changed mind,79.12,processed,valid
RET-0180,ORD-05825,PROD-037,2024-10-22,not as described,135.88,pending,valid
RET-0181,ORD-05245,PROD-014,2025-01-04,damaged,102.39,processed,valid
RET-0182,ORD-05037,PROD-012,2025-03-24,wrong item,126.6,processed,valid
RET-0183,ORD-00555,PROD-021,2024-10-07,wrong item,60.27,processed,valid
RET-0184,ORD-07312,PROD-079,2025-06-11,not as described,95.72,processed,valid
RET-0185,ORD-04395,PROD-026,2026-01-19,defective,133.55,processed,valid
RET-0186,ORD-05395,PROD-079,2025-04-01,wrong item,137.09,processed,valid
RET-0187,ORD-03536,PROD-030,2025-01-01,not as described,168.86,processed,valid
RET-0188,ORD-01700,PROD-025,2025-08-12,wrong item,87.24,processed,valid
RET-0189,ORD-06727,PROD-061,2025-08-09,defective,129.06,processed,valid
RET-0190,ORD-01056,PROD-020,2025-12-30,defective,21.6,rejected,valid
RET-0191,ORD-01407,PROD-020,2024-09-14,wrong item,172.59,processed,valid
RET-0192,ORD-03768,PROD-068,2025-03-19,defective,140.29,processed,valid
RET-0193,ORD-00602,PROD-051,2025-05-15,damaged,22.77,pending,valid
RET-0194,ORD-01384,PROD-007,2026-03-31,not as described,48.65,processed,valid
RET-0195,ORD-03333,PROD-037,2025-01-28,not as described,15.4,pending,valid
RET-0197,ORD-04320,PROD-090,2025-08-19,changed mind,164.63,processed,valid
RET-0198,ORD-01913,PROD-066,2025-01-22,wrong item,68.59,processed,valid
RET-0199,ORD-03685,PROD-027,2025-05-10,damaged,100.75,processed,valid
RET-0200,ORD-07583,PROD-059,2024-10-30,defective,199.61,rejected,valid
RET-0201,ORD-04814,PROD-034,2025-03-16,not as described,89.14,processed,valid
RET-0202,ORD-01741,PROD-042,2025-12-07,not as described,135.22,processed,valid
RET-0203,ORD-05040,PROD-081,2025-12-19,changed mind,115.83,processed,valid
RET-0205,ORD-05139,PROD-079,2026-03-14,wrong item,139.22,processed,valid
RET-0206,ORD-03579,PROD-061,2025-04-07,defective,91.41,processed,valid
RET-0207,ORD-04443,PROD-068,2025-06-02,changed mind,180.03,processed,valid
RET-0208,ORD-07473,PROD-057,2026-01-30,changed mind,188.7,processed,valid
RET-0209,ORD-07129,PROD-075,2024-07-27,changed mind,32.97,rejected,valid
RET-0210,ORD-00240,PROD-007,2024-08-30,not as described,130.82,processed,valid
RET-0212,ORD-03543,PROD-049,2024-08-05,defective,124.0,processed,valid
RET-0213,ORD-06207,PROD-012,2026-03-31,changed mind,167.28,processed,valid
RET-0215,ORD-00102,PROD-055,2025-02-15,defective,158.95,processed,valid
RET-0216,ORD-00319,PROD-053,2024-08-14,damaged,154.18,pending,valid
RET-0217,ORD-04582,PROD-059,2025-02-20,wrong item,10.02,processed,valid
RET-0218,ORD-03188,PROD-095,2026-04-28,wrong item,63.54,processed,valid
RET-0219,ORD-00534,PROD-086,2025-06-03,changed mind,138.22,processed,valid
RET-0221,ORD-01245,PROD-024,2026-06-17,changed mind,6.87,processed,valid
RET-0222,ORD-01143,PROD-043,2025-12-11,wrong item,199.74,processed,valid
RET-0223,ORD-04348,PROD-022,2026-01-10,defective,117.3,processed,valid
RET-0224,ORD-07288,PROD-020,2026-03-30,defective,165.43,rejected,valid
RET-0225,ORD-06527,PROD-017,2025-04-25,wrong item,73.95,processed,valid
RET-0226,ORD-01329,PROD-072,2026-05-26,not as described,16.92,processed,valid
RET-0227,ORD-07098,PROD-086,2025-05-09,damaged,123.52,processed,valid
RET-0228,ORD-06614,PROD-015,2025-06-26,wrong item,181.33,processed,valid
RET-0229,ORD-01929,PROD-024,2024-11-02,defective,21.84,rejected,valid
RET-0230,ORD-05005,PROD-058,2024-11-26,defective,44.77,processed,valid
RET-0231,ORD-00497,PROD-009,2025-11-27,wrong item,56.09,processed,valid
RET-0232,ORD-07545,PROD-060,2024-07-07,damaged,18.39,processed,valid
RET-0233,ORD-02772,PROD-072,2025-02-27,not as described,89.32,processed,valid
RET-0235,ORD-05051,PROD-008,2025-02-01,wrong item,61.62,processed,valid
RET-0236,ORD-04077,PROD-017,2024-08-07,defective,34.39,pending,valid
RET-0237,ORD-03917,PROD-075,2024-07-24,defective,177.16,processed,valid
RET-0238,ORD-00545,PROD-095,2025-05-12,defective,198.82,processed,valid
RET-0239,ORD-04177,PROD-069,2025-07-13,not as described,172.56,processed,valid
RET-0240,ORD-01243,PROD-038,2025-07-01,not as described,107.5,processed,valid
RET-0241,ORD-07331,PROD-091,2025-05-26,not as described,130.72,processed,valid
RET-0242,ORD-05539,PROD-063,2025-10-27,damaged,137.1,processed,valid
RET-0243,ORD-00335,PROD-073,2025-05-12,wrong item,41.71,pending,valid
RET-0244,ORD-07133,PROD-019,2025-06-02,not as described,174.43,processed,valid
RET-0245,ORD-01316,PROD-021,2025-06-27,defective,135.79,processed,valid
RET-0246,ORD-01920,PROD-017,2025-12-09,not as described,146.78,processed,valid
RET-0247,ORD-02185,PROD-016,2025-05-25,damaged,192.02,processed,valid
RET-0248,ORD-03862,PROD-041,2026-01-26,damaged,100.37,rejected,valid
RET-0250,ORD-04646,PROD-057,2024-11-18,wrong item,139.7,rejected,valid
RET-0251,ORD-00133,PROD-060,2026-02-28,not as described,27.45,processed,valid
RET-0252,ORD-03961,PROD-064,2025-11-01,damaged,61.66,processed,valid
RET-0253,ORD-06352,PROD-007,2025-12-28,defective,26.84,processed,valid
RET-0254,ORD-02246,PROD-064,2025-10-28,wrong item,9.47,pending,valid
RET-0256,ORD-06147,PROD-035,2026-04-03,damaged,10.42,processed,valid
RET-0257,ORD-02030,PROD-032,2026-02-19,not as described,97.58,processed,valid
RET-0258,ORD-00038,PROD-070,2025-09-27,damaged,93.49,pending,valid
RET-0259,ORD-07637,PROD-098,2024-11-20,changed mind,142.96,processed,valid
RET-0260,ORD-07574,PROD-047,2024-11-11,wrong item,19.67,processed,valid
RET-0261,ORD-02019,PROD-079,2025-01-04,wrong item,27.95,processed,valid
RET-0263,ORD-02403,PROD-098,2026-05-15,defective,132.2,pending,valid
RET-0264,ORD-00749,PROD-053,2026-02-11,defective,66.51,pending,valid
RET-0265,ORD-07568,PROD-057,2025-12-29,damaged,195.43,rejected,valid
RET-0266,ORD-02457,PROD-040,2026-03-23,not as described,124.35,pending,valid
RET-0267,ORD-07513,PROD-037,2026-05-12,defective,87.78,pending,valid
RET-0268,ORD-02345,PROD-016,2024-09-10,defective,72.35,processed,valid
RET-0269,ORD-00096,PROD-032,2024-11-22,not as described,173.22,rejected,valid
RET-0270,ORD-06252,PROD-042,2024-12-18,not as described,52.89,processed,valid
RET-0271,ORD-07865,PROD-015,2026-05-12,wrong item,47.55,processed,valid
RET-0274,ORD-02587,PROD-098,2024-11-29,defective,58.5,processed,valid
RET-0275,ORD-05199,PROD-061,2024-11-06,wrong item,53.68,processed,valid
RET-0276,ORD-03440,PROD-018,2025-05-15,defective,160.82,processed,valid
RET-0277,ORD-03555,PROD-037,2025-02-22,not as described,156.77,processed,valid
RET-0279,ORD-06585,PROD-090,2025-11-30,wrong item,52.46,processed,valid
RET-0280,ORD-02813,PROD-013,2024-09-20,defective,168.94,processed,valid
RET-0281,ORD-02837,PROD-016,2024-09-11,not as described,170.93,processed,valid
RET-0282,ORD-00252,PROD-009,2025-11-25,wrong item,138.75,processed,valid
RET-0283,ORD-06636,PROD-053,2026-01-30,changed mind,74.43,rejected,valid
RET-0284,ORD-01023,PROD-047,2024-07-05,wrong item,125.94,processed,valid
RET-0285,ORD-07648,PROD-096,2026-06-17,damaged,157.44,rejected,valid
RET-0286,ORD-01011,PROD-093,2025-01-28,changed mind,106.28,processed,valid
RET-0287,ORD-04650,PROD-075,2025-09-24,wrong item,88.53,processed,valid
RET-0289,ORD-01673,PROD-061,2026-03-10,not as described,169.03,processed,valid
RET-0290,ORD-00626,PROD-003,2025-03-22,not as described,8.31,processed,valid
RET-0291,ORD-07794,PROD-045,2025-12-01,damaged,54.79,processed,valid
RET-0292,ORD-02111,PROD-049,2024-07-24,damaged,87.11,pending,valid
RET-0293,ORD-01466,PROD-080,2025-10-07,damaged,148.92,rejected,valid
RET-0294,ORD-07530,PROD-075,2025-08-11,defective,81.61,processed,valid
RET-0295,ORD-04735,PROD-032,2025-11-23,wrong item,12.53,processed,valid
RET-0296,ORD-04267,PROD-068,2025-05-23,changed mind,72.32,processed,valid
RET-0297,ORD-03092,PROD-003,2025-08-01,damaged,82.93,processed,valid
RET-0298,ORD-06973,PROD-041,2026-05-28,not as described,63.87,processed,valid
RET-0299,ORD-01889,PROD-052,2025-06-25,changed mind,54.35,processed,valid
RET-0300,ORD-01609,PROD-080,2024-09-26,wrong item,111.09,processed,valid
RET-0301,ORD-01745,PROD-047,2025-03-23,wrong item,142.09,pending,valid
RET-0302,ORD-00158,PROD-020,2024-10-28,damaged,110.11,processed,valid
RET-0303,ORD-02440,PROD-100,2025-12-23,damaged,183.9,pending,valid
RET-0305,ORD-03095,PROD-018,2026-05-30,damaged,150.96,processed,valid
RET-0306,ORD-06214,PROD-060,2025-05-04,changed mind,71.26,processed,valid
RET-0307,ORD-00504,PROD-065,2026-05-29,changed mind,182.4,processed,valid
RET-0308,ORD-06187,PROD-027,2025-10-10,not as described,194.11,processed,valid
RET-0309,ORD-00316,PROD-080,2025-10-31,changed mind,185.36,rejected,valid
RET-0310,ORD-00711,PROD-087,2026-01-23,wrong item,102.47,processed,valid
RET-0311,ORD-03969,PROD-030,2025-04-02,defective,43.69,pending,valid
RET-0313,ORD-03718,PROD-042,2024-11-23,not as described,74.06,processed,valid
RET-0314,ORD-07083,PROD-081,2025-07-25,defective,6.73,rejected,valid
RET-0315,ORD-00857,PROD-038,2025-11-03,defective,23.08,rejected,valid
RET-0316,ORD-03323,PROD-100,2025-10-08,wrong item,34.68,pending,valid
RET-0318,ORD-02657,PROD-079,2026-02-28,changed mind,138.96,processed,valid
RET-0319,ORD-00320,PROD-005,2024-11-22,damaged,150.03,pending,valid
RET-0320,ORD-00430,PROD-039,2024-07-10,not as described,50.19,processed,valid
RET-0321,ORD-01019,PROD-033,2024-11-01,defective,188.75,processed,valid
RET-0322,ORD-01427,PROD-066,2025-09-24,damaged,9.19,pending,valid
RET-0323,ORD-07943,PROD-082,2025-03-16,changed mind,10.73,processed,valid
RET-0325,ORD-06544,PROD-017,2026-01-17,defective,111.0,processed,valid
RET-0326,ORD-02108,PROD-083,2024-10-08,changed mind,171.95,pending,valid
RET-0327,ORD-07146,PROD-002,2026-02-17,wrong item,58.64,processed,valid
RET-0328,ORD-06606,PROD-018,2024-11-15,not as described,58.04,pending,valid
RET-0329,ORD-07531,PROD-034,2025-01-24,damaged,11.62,processed,valid
RET-0330,ORD-07979,PROD-048,2024-09-16,damaged,185.95,processed,valid
RET-0331,ORD-07945,PROD-020,2026-01-25,not as described,70.4,processed,valid
RET-0332,ORD-01194,PROD-030,2025-04-01,wrong item,120.81,processed,valid
RET-0333,ORD-06358,PROD-046,2026-06-26,not as described,151.03,processed,valid
RET-0334,ORD-04114,PROD-037,2025-01-23,changed mind,31.95,processed,valid
RET-0335,ORD-05741,PROD-013,2025-03-23,damaged,169.3,processed,valid
RET-0336,ORD-01841,PROD-007,2025-12-14,damaged,30.43,processed,valid
RET-0337,ORD-02535,PROD-009,2025-11-24,defective,193.61,processed,valid
RET-0338,ORD-01863,PROD-088,2025-08-11,defective,131.43,processed,valid
RET-0339,ORD-05837,PROD-035,2025-05-17,changed mind,94.89,processed,valid
RET-0340,ORD-07774,PROD-005,2025-01-04,changed mind,119.09,processed,valid
RET-0341,ORD-06700,PROD-072,2026-04-03,defective,164.14,processed,valid
RET-0342,ORD-03046,PROD-010,2025-07-27,wrong item,165.55,processed,valid
RET-0344,ORD-04229,PROD-093,2025-10-21,defective,15.34,processed,valid
RET-0345,ORD-06061,PROD-015,2024-12-06,not as described,193.36,processed,valid
RET-0346,ORD-04230,PROD-042,2025-04-17,not as described,60.35,processed,valid
RET-0347,ORD-01282,PROD-014,2025-04-21,damaged,190.65,processed,valid
RET-0349,ORD-07289,PROD-010,2025-03-02,not as described,63.84,processed,valid
RET-0350,ORD-05503,PROD-020,2025-12-18,changed mind,38.88,processed,valid
RET-0351,ORD-04221,PROD-014,2026-05-23,wrong item,66.11,processed,valid
RET-0352,ORD-04546,PROD-062,2024-09-16,not as described,44.39,processed,valid
RET-0354,ORD-00744,PROD-068,2026-03-10,damaged,133.39,processed,valid
RET-0356,ORD-02234,PROD-082,2025-03-09,damaged,177.63,processed,valid
RET-0357,ORD-04505,PROD-034,2024-08-27,damaged,190.36,processed,valid
RET-0358,ORD-06247,PROD-001,2025-09-25,defective,71.62,processed,valid
RET-0359,ORD-06097,PROD-023,2025-06-02,defective,167.98,pending,valid
RET-0360,ORD-07771,PROD-018,2025-02-17,defective,136.65,processed,valid
RET-0361,ORD-05278,PROD-016,2024-11-06,changed mind,19.23,processed,valid
RET-0362,ORD-03616,PROD-089,2025-12-01,damaged,146.91,processed,valid
RET-0363,ORD-04790,PROD-091,2025-03-31,defective,19.83,rejected,valid
RET-0366,ORD-01702,PROD-014,2025-12-19,not as described,94.21,pending,valid
RET-0367,ORD-00997,PROD-092,2024-07-14,changed mind,175.27,processed,valid
RET-0368,ORD-04039,PROD-007,2025-06-15,not as described,183.86,pending,valid
RET-0369,ORD-04658,PROD-047,2025-02-15,changed mind,194.16,processed,valid
RET-0370,ORD-07907,PROD-096,2026-02-25,damaged,194.25,processed,valid
RET-0371,ORD-04718,PROD-019,2026-04-03,damaged,94.41,processed,valid
RET-0372,ORD-04716,PROD-011,2024-09-18,not as described,178.03,processed,valid
RET-0373,ORD-03483,PROD-030,2025-07-22,wrong item,38.65,rejected,valid
RET-0374,ORD-06370,PROD-013,2026-04-04,defective,151.44,processed,valid
RET-0375,ORD-05894,PROD-053,2025-06-16,defective,112.37,processed,valid
RET-0376,ORD-05147,PROD-053,2024-11-04,damaged,99.2,rejected,valid
RET-0377,ORD-01085,PROD-081,2024-09-11,not as described,84.77,processed,valid
RET-0379,ORD-01923,PROD-001,2026-06-21,wrong item,112.12,processed,valid
RET-0380,ORD-07224,PROD-089,2025-11-19,changed mind,94.58,processed,valid
RET-0381,ORD-01047,PROD-090,2026-03-12,not as described,31.05,processed,valid
RET-0382,ORD-01347,PROD-080,2025-01-31,defective,166.68,processed,valid
RET-0383,ORD-05923,PROD-096,2026-05-22,damaged,6.88,pending,valid
RET-0384,ORD-01177,PROD-059,2026-03-21,defective,92.17,pending,valid
RET-0385,ORD-06283,PROD-060,2024-08-20,not as described,156.46,processed,valid
RET-0386,ORD-07037,PROD-094,2024-12-30,damaged,184.21,processed,valid
RET-0387,ORD-06084,PROD-037,2025-06-14,not as described,48.84,processed,valid
RET-0388,ORD-05915,PROD-051,2024-11-10,defective,116.27,pending,valid
